markdown_id,markdown_description,date,style_code,description,department,colour,soh,price,price_history
4227,SCW24FINALPP,11/04/2024,517714,SUNSHINE SCARF,Accessories,Camel,0,19.0,"{49.0: ('06/09/2022', 'SCWK6SEPMSS'), 39.0: ('21/09/2023', 'SCS23MSSKWACC'), 19.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,517714,SUNSHINE SCARF,Accessories,Olivine,0,19.0,"{49.0: ('06/09/2022', 'SCWK6SEPMSS'), 39.0: ('21/09/2023', 'SCS23MSSKWACC'), 19.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,517714,SUNSHINE SCARF,Accessories,Winter Wht,0,19.0,"{49.0: ('06/09/2022', 'SCWK6SEPMSS'), 39.0: ('21/09/2023', 'SCS23MSSKWACC'), 19.0: ('11/04/2024', 'SCW24FINALPP')}"
4147,SCS23MSSKWACC,21/09/2023,517715,ELLA SCARF,Accessories,Berry,0,39.0,"{49.0: ('06/09/2022', 'SCWK6SEPMSS'), 39.0: ('21/09/2023', 'SCS23MSSKWACC')}"
4227,SCW24FINALPP,11/04/2024,517715,ELLA SCARF,Accessories,Clay,0,19.0,"{49.0: ('06/09/2022', 'SCWK6SEPMSS'), 39.0: ('21/09/2023', 'SCS23MSSKWACC'), 19.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,517715,ELLA SCARF,Accessories,Navy,0,19.0,"{49.0: ('06/09/2022', 'SCWK6SEPMSS'), 39.0: ('21/09/2023', 'SCS23MSSKWACC'), 19.0: ('11/04/2024', 'SCW24FINALPP')}"
4147,SCS23MSSKWACC,21/09/2023,517716,Isla Rectangle,Accessories,Navy Multi,0,39.0,"{49.0: ('06/09/2022', 'SCWK6SEPMSS'), 39.0: ('21/09/2023', 'SCS23MSSKWACC')}"
4021,SCWK6SEPMSS,06/09/2022,517717,Animalia Square,Accessories,Navy/Whit,0,49.0,"{49.0: ('06/09/2022', 'SCWK6SEPMSS')}"
4227,SCW24FINALPP,11/04/2024,517719,Jasmine Square,Accessories,Blk/Multi,0,29.0,"{49.0: ('06/09/2022', 'SCWK6SEPMSS'), 39.0: ('21/09/2023', 'SCS23MSSKWACC'), 29.0: ('11/04/2024', 'SCW24FINALPP')}"
4229,SCW24EOSS,28/05/2024,517720,Flora Square Si,Accessories,Pink Multi,0,79.0,"{79.0: ('28/05/2024', 'SCW24EOSS')}"
4147,SCS23MSSKWACC,21/09/2023,517721,Animalia Rectan,Accessories,Ivry/Spice,0,39.0,"{49.0: ('06/09/2022', 'SCWK6SEPMSS'), 39.0: ('21/09/2023', 'SCS23MSSKWACC')}"
4229,SCW24EOSS,28/05/2024,517722,Sarika Gingham,Accessories,Navy/Whit,0,39.0,"{39.0: ('28/05/2024', 'SCW24EOSS')}"
4229,SCW24EOSS,28/05/2024,517727,Florence Silk S,Accessories,Pink Multi,0,79.0,"{79.0: ('28/05/2024', 'SCW24EOSS')}"
4229,SCW24EOSS,28/05/2024,517732,Lexi Cotton Sil,Accessories,Green,0,99.0,"{99.0: ('28/05/2024', 'SCW24EOSS')}"
4229,SCW24EOSS,28/05/2024,517733,Lexi Bag,Accessories,Multi,0,79.0,"{79.0: ('28/05/2024', 'SCW24EOSS')}"
4286,SCS24MSSV1,21/08/2024,517738,Spot Silk Scarf,Accessories,Black/Ivo,0,85.0,"{85.0: ('21/08/2024', 'SCS24MSSV1')}"
4286,SCS24MSSV1,21/08/2024,517738,Spot Silk Scarf,Accessories,Green,0,85.0,"{85.0: ('21/08/2024', 'SCS24MSSV1')}"
4286,SCS24MSSV1,21/08/2024,517739,Rope Silk Print,Accessories,Navy/Ivory,0,85.0,"{85.0: ('21/08/2024', 'SCS24MSSV1')}"
4229,SCW24EOSS,28/05/2024,517741,Heart Silk Scar,Accessories,Multi,0,79.0,"{79.0: ('28/05/2024', 'SCW24EOSS')}"
4229,SCW24EOSS,28/05/2024,517741,Heart Silk Scar,Accessories,Navy Multi,0,79.0,"{79.0: ('28/05/2024', 'SCW24EOSS')}"
4147,SCS23MSSKWACC,21/09/2023,517743,Sunshine Scarf,Accessories,Brt Pink,0,49.0,"{59.0: ('24/08/2023', 'SCS24MSS'), 49.0: ('21/09/2023', 'SCS23MSSKWACC')}"
4227,SCW24FINALPP,11/04/2024,517743,Sunshine Scarf,Accessories,Royal,0,19.0,"{59.0: ('24/08/2023', 'SCS24MSS'), 49.0: ('21/09/2023', 'SCS23MSSKWACC'), 19.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,517744,Sunshine Stripe,Accessories,Multi,0,19.0,"{59.0: ('24/08/2023', 'SCS24MSS'), 49.0: ('21/09/2023', 'SCS23MSSKWACC'), 19.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,517745,Two Tone Merino,Accessories,Avocado,0,19.0,"{79.0: ('24/08/2023', 'SCS24MSS'), 49.0: ('21/09/2023', 'SCS23MSSKWACC'), 19.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,517745,Two Tone Merino,Accessories,Oatmeal,0,19.0,"{79.0: ('24/08/2023', 'SCS24MSS'), 49.0: ('21/09/2023', 'SCS23MSSKWACC'), 19.0: ('11/04/2024', 'SCW24FINALPP')}"
4286,SCS24MSSV1,21/08/2024,517746,Peony Cotton Si,Accessories,Red Multi,0,85.0,"{85.0: ('21/08/2024', 'SCS24MSSV1')}"
4229,SCW24EOSS,28/05/2024,517748,Jackie Silk Sca,Accessories,Green,0,79.0,"{79.0: ('28/05/2024', 'SCW24EOSS')}"
4229,SCW24EOSS,28/05/2024,517748,Jackie Silk Sca,Accessories,Multi,0,79.0,"{79.0: ('28/05/2024', 'SCW24EOSS')}"
4286,SCS24MSSV1,21/08/2024,517751,Chain Silk Scar,Accessories,Brown,0,85.0,"{85.0: ('21/08/2024', 'SCS24MSSV1')}"
4147,SCS23MSSKWACC,21/09/2023,517752,Tatiana Mohair,Accessories,Ivory,0,49.0,"{79.0: ('24/08/2023', 'SCS24MSS'), 49.0: ('21/09/2023', 'SCS23MSSKWACC')}"
4227,SCW24FINALPP,11/04/2024,517752,Tatiana Mohair,Accessories,Pecan,0,29.0,"{79.0: ('24/08/2023', 'SCS24MSS'), 49.0: ('21/09/2023', 'SCS23MSSKWACC'), 29.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,517752,Tatiana Mohair,Accessories,Rose Quart,0,29.0,"{79.0: ('24/08/2023', 'SCS24MSS'), 49.0: ('21/09/2023', 'SCS23MSSKWACC'), 29.0: ('11/04/2024', 'SCW24FINALPP')}"
4286,SCS24MSSV1,21/08/2024,517753,Citron Silk Sca,Accessories,Multi Yell,0,85.0,"{85.0: ('21/08/2024', 'SCS24MSSV1')}"
4227,SCW24FINALPP,11/04/2024,517755,Wildflower Silk,Accessories,Pink Multi,0,29.0,"{69.0: ('06/03/2024', 'SCW24MSS'), 29.0: ('11/04/2024', 'SCW24FINALPP')}"
4286,SCS24MSSV1,21/08/2024,517757,Farrah Silk Sca,Accessories,Navy Multi,0,85.0,"{85.0: ('21/08/2024', 'SCS24MSSV1')}"
