
           STOCK REFILL REPORT

Transaction Date From: 16/04/2022 
________________________________________________________
Product    Colour     Name             Size    Sold  SOH
114852     White      Cotton Short Sl  XL         7    0
114852     White      Cotton Short Sl  XXL        4    0
114852G1   Black      Mercerised Cott  XXS        1    0
114852G1   Black      Mercerised Cott  XS         1    0
114852G1   Black      Mercerised Cott  S          4    0
114852G1   Black      Mercerised Cott  M          6    0
114852G1   Black      Mercerised Cott  L          2    0
114852G1   Black      Mercerised Cott  XL         1    0
114852G1   Black      Mercerised Cott  XXL        3    0
114852G1   Celery     Mercerised Cott  XXS        1    0
114852G1   Celery     Mercerised Cott  XS         3    0
114852G1   Celery     Mercerised Cott  S          2    0
114852G1   Celery     Mercerised Cott  M          2    0
114852G1   Celery     Mercerised Cott  L          1    0
114852G1   Celery     Mercerised Cott  XL         1    0
114852G1   Cerulean   Mercerised Cott  XXS        2    0
114852G1   Cerulean   Mercerised Cott  S          6    0
114852G1   Cerulean   Mercerised Cott  M          3    0
114852G1   Cerulean   Mercerised Cott  L          2    0
114852G1   Cerulean   Mercerised Cott  XL         1    0
114852G1   Navy       Mercerised Cott  XXS        1    0
114852G1   Navy       Mercerised Cott  XS         4    0
114852G1   Navy       Mercerised Cott  S          3    0
114852G1   Navy       Mercerised Cott  M          2    0
114852G1   Navy       Mercerised Cott  L          1    0
114852G1   Navy       Mercerised Cott  XL         1    0
114852G1   Orchid     Mercerised Cott  XXS        1    0
114852G1   Orchid     Mercerised Cott  XS         2    0
114852G1   Orchid     Mercerised Cott  S          4    0
114852G1   Orchid     Mercerised Cott  L          5    0
114852G1   Orchid     Mercerised Cott  XL         1    0
114852G1   Pl Blue    Mercerised Cott  XXS        2    0
114852G1   Pl Blue    Mercerised Cott  XS         3    0
114852G1   Pl Blue    Mercerised Cott  S          3    0
114852G1   Pl Blue    Mercerised Cott  M          4    0
114852G1   Pl Blue    Mercerised Cott  L          2    0
114852G1   Pl Blue    Mercerised Cott  XL         1    0
114852G1   Pl Blue    Mercerised Cott  XXL        1    0
114852G1   White      Mercerised Cott  XXS        7    0
114852G1   White      Mercerised Cott  XS         8    1
114852G1   White      Mercerised Cott  S          6    0
114852G1   White      Mercerised Cott  M          5    0
114852G1   White      Mercerised Cott  L          2    0
114852G1   White      Mercerised Cott  XL         4    0
114852G1   White      Mercerised Cott  XXL        5    1
114915     Ivory      Lucy Funnel Nec  XS         1    0
114915     Ivory      Lucy Funnel Nec  S          1    0
114915     Ivory      Lucy Funnel Nec  L          1    0
114915     Ivory      Lucy Funnel Nec  XXL        1    0
114915     Sage       Lucy Funnel Nec  XS         1    0
114915     Thyme      Lucy Funnel Nec  S          1    0
114915     Thyme      Lucy Funnel Nec  M          4    0
114915     Thyme      Lucy Funnel Nec  L          2    0
114915     Thyme      Lucy Funnel Nec  XXL        1    0
114934     Black      Felicity Velvet  6          3    0
114934     Black      Felicity Velvet  10         5    0
114934     Black      Felicity Velvet  12         6    0
114934     Black      Felicity Velvet  14         5    0
