day,date,tender,value
Saturday,2022-12-24,Gift Voucher,40.0
Saturday,2022-12-24,Integrated EFTPOS,8277.56
Monday,2022-12-26,CASH,117.0
Monday,2022-12-26,Gift Voucher,150.0
Monday,2022-12-26,Integrated EFTPOS,3673.87
Tuesday,2022-12-27,CASH,18.0
Tuesday,2022-12-27,Gift Voucher,460.98
Tuesday,2022-12-27,Integrated EFTPOS,3077.85
Wednesday,2022-12-28,Integrated EFTPOS,3812.78
Wednesday,2022-12-28,Mail Order Pickup,291.98
Thursday,2022-12-29,CASH,29.0
Thursday,2022-12-29,Gift Voucher,576.0
Thursday,2022-12-29,Integrated EFTPOS,3886.31
Thursday,2022-12-29,Mail Order Pickup,246.98
Friday,2022-12-30,Birthday Voucher Refund,20.0
Friday,2022-12-30,CASH,29.0
Friday,2022-12-30,Gift Voucher,242.98
Friday,2022-12-30,Integrated EFTPOS,3255.86
Saturday,2022-12-31,Account,250.0
Saturday,2022-12-31,CASH,372.0
Saturday,2022-12-31,Gift Voucher,40.0
Saturday,2022-12-31,Integrated EFTPOS,2660.84
Monday,2023-01-02,Integrated EFTPOS,3418.8
Tuesday,2023-01-03,CASH,219.0
Tuesday,2023-01-03,Gift Voucher,200.0
Tuesday,2023-01-03,Integrated EFTPOS,1853.91
Tuesday,2023-01-03,Mail Order Pickup,89.99
Tuesday,2023-01-03,PayPal,-179.99
Wednesday,2023-01-04,Integrated EFTPOS,1065.9
Thursday,2023-01-05,CASH,450.0
Thursday,2023-01-05,Eftpos card,89.99
Thursday,2023-01-05,Gift Voucher,20.0
Thursday,2023-01-05,Integrated EFTPOS,2571.45
Friday,2023-01-06,Integrated EFTPOS,2354.65
Friday,2023-01-06,Mail Order Pickup,535.96
Saturday,2023-01-07,CASH,39.2
Saturday,2023-01-07,Integrated EFTPOS,3571.0
Sunday,2023-01-08,Account,379.98
Sunday,2023-01-08,Integrated EFTPOS,2150.06
Monday,2023-01-09,CASH,9.2
Monday,2023-01-09,Gift Voucher,170.0
Monday,2023-01-09,Integrated EFTPOS,998.56
Monday,2023-01-09,Mail Order Pickup,95.99
Tuesday,2023-01-10,Account,769.97
Tuesday,2023-01-10,Gift Voucher,174.98
Tuesday,2023-01-10,Integrated EFTPOS,1214.53
Wednesday,2023-01-11,CASH,831.2
Wednesday,2023-01-11,Integrated EFTPOS,2675.77
Wednesday,2023-01-11,Mail Order Pickup,223.18
Wednesday,2023-01-11,PayPal,-103.99
Thursday,2023-01-12,Integrated EFTPOS,2215.62
Thursday,2023-01-12,Mail Order Pickup,49.0
Friday,2023-01-13,CASH,98.0
Friday,2023-01-13,Integrated EFTPOS,1343.08
Friday,2023-01-13,Mail Order Pickup,127.19
Saturday,2023-01-14,CASH,120.0
Saturday,2023-01-14,Gift Voucher,20.0
Saturday,2023-01-14,Integrated EFTPOS,2436.65
Sunday,2023-01-15,Integrated EFTPOS,1444.67
Monday,2023-01-16,Afterpay POS API Payment,-119.2
Monday,2023-01-16,Integrated EFTPOS,765.55
Monday,2023-01-16,Mail Order Pickup,119.99
Tuesday,2023-01-17,Credit note,-7.0
Tuesday,2023-01-17,Gift Voucher,20.0
Tuesday,2023-01-17,Integrated EFTPOS,1249.7
Wednesday,2023-01-18,Birthday Voucher Refund,20.0
Wednesday,2023-01-18,Credit note,7.0
Wednesday,2023-01-18,Gift Voucher,40.0
Wednesday,2023-01-18,Integrated EFTPOS,2420.4
Wednesday,2023-01-18,Mail Order Pickup,111.99
Thursday,2023-01-19,Gift Voucher,20.0
Thursday,2023-01-19,Integrated EFTPOS,2699.56
Thursday,2023-01-19,Mail Order Pickup,207.98
Friday,2023-01-20,CASH,154.3
Friday,2023-01-20,Integrated EFTPOS,1230.22
Friday,2023-01-20,Mail Order Pickup,119.99
Saturday,2023-01-21,Account,159.29
Saturday,2023-01-21,CASH,120.0
Saturday,2023-01-21,Credit note,-24.0
Saturday,2023-01-21,Gift Voucher,20.0
Saturday,2023-01-21,Integrated EFTPOS,1261.48
Sunday,2023-01-22,Integrated EFTPOS,1866.36
Monday,2023-01-23,Integrated EFTPOS,1884.42
Monday,2023-01-23,Mail Order Pickup,71.99
Tuesday,2023-01-24,Credit note,-89.99
Tuesday,2023-01-24,Integrated EFTPOS,2611.27
Wednesday,2023-01-25,Account,80.0
Wednesday,2023-01-25,CASH,98.5
Wednesday,2023-01-25,Integrated EFTPOS,639.72
Wednesday,2023-01-25,Mail Order Pickup,259.47
Thursday,2023-01-26,Integrated EFTPOS,1140.82
Thursday,2023-01-26,PayPal,-23.2
Friday,2023-01-27,CASH,75.0
Friday,2023-01-27,Integrated EFTPOS,1294.48
Saturday,2023-01-28,CASH,50.0
Saturday,2023-01-28,Gift Voucher,270.0
Saturday,2023-01-28,Integrated EFTPOS,1520.67
Sunday,2023-01-29,Credit note,78.0
Sunday,2023-01-29,Integrated EFTPOS,1529.99
Monday,2023-01-30,Gift Voucher,50.0
Monday,2023-01-30,Integrated EFTPOS,1434.74
Tuesday,2023-01-31,Account,20.3
Tuesday,2023-01-31,CASH,117.0
Tuesday,2023-01-31,Gift Voucher,40.0
Tuesday,2023-01-31,Integrated EFTPOS,1434.97
Tuesday,2023-01-31,PayPal,-78.0
Wednesday,2023-02-01,Integrated EFTPOS,639.12
Wednesday,2023-02-01,Mail Order Pickup,104.99
Thursday,2023-02-02,Gift Voucher,50.0
Thursday,2023-02-02,Integrated EFTPOS,2946.75
Friday,2023-02-03,Account,359.97
Friday,2023-02-03,CASH,84.0
Friday,2023-02-03,Integrated EFTPOS,2503.8
Saturday,2023-02-04,Gift Voucher,100.0
Saturday,2023-02-04,Integrated EFTPOS,3232.68
Sunday,2023-02-05,Gift Voucher,98.99
Sunday,2023-02-05,Integrated EFTPOS,1397.91
Monday,2023-02-06,Integrated EFTPOS,2459.78
Monday,2023-02-06,Mail Order Pickup,90.99
Tuesday,2023-02-07,CASH,90.0
Tuesday,2023-02-07,Integrated EFTPOS,527.45
Wednesday,2023-02-08,Integrated EFTPOS,1022.41
Wednesday,2023-02-08,Mail Order Pickup,152.99
Thursday,2023-02-09,Account,509.96
Thursday,2023-02-09,CASH,222.0
Thursday,2023-02-09,Gift Voucher,20.0
Thursday,2023-02-09,Integrated EFTPOS,1571.9
Friday,2023-02-10,Integrated EFTPOS,2298.78
Saturday,2023-02-11,Birthday Voucher Refund,-20.0
Saturday,2023-02-11,Credit note,0.0
Saturday,2023-02-11,Integrated EFTPOS,2712.76
Sunday,2023-02-12,Account,160.0
Sunday,2023-02-12,Integrated EFTPOS,1241.87
Monday,2023-02-13,Integrated EFTPOS,1252.9
Tuesday,2023-02-14,CASH,100.0
Tuesday,2023-02-14,Integrated EFTPOS,1485.86
Wednesday,2023-02-15,Integrated EFTPOS,1600.87
Wednesday,2023-02-15,PayPal,-104.99
Thursday,2023-02-16,Gift Voucher,134.99
Thursday,2023-02-16,Integrated EFTPOS,4060.36
Friday,2023-02-17,Integrated EFTPOS,1585.86
Friday,2023-02-17,Mail Order Pickup,192.98
Saturday,2023-02-18,Gift Voucher,40.0
Saturday,2023-02-18,Integrated EFTPOS,1562.15
Sunday,2023-02-19,Gift Voucher,20.0
Sunday,2023-02-19,Integrated EFTPOS,3180.77
Monday,2023-02-20,Integrated EFTPOS,506.94
Tuesday,2023-02-21,CASH,300.0
Tuesday,2023-02-21,Integrated EFTPOS,2198.82
Wednesday,2023-02-22,Integrated EFTPOS,1267.89
Thursday,2023-02-23,Integrated EFTPOS,1738.85
Friday,2023-02-24,Integrated EFTPOS,1574.84
Saturday,2023-02-25,Account,270.0
Saturday,2023-02-25,CASH,99.0
Saturday,2023-02-25,Integrated EFTPOS,863.9
Sunday,2023-02-26,Account,116.85
Sunday,2023-02-26,Gift Voucher,20.0
Sunday,2023-02-26,Integrated EFTPOS,1935.95
Monday,2023-02-27,Integrated EFTPOS,1646.84
Monday,2023-02-27,Mail Order Pickup,119.99
Tuesday,2023-02-28,CASH,170.0
Tuesday,2023-02-28,Gift Voucher,40.0
Tuesday,2023-02-28,Integrated EFTPOS,2187.89
Wednesday,2023-03-01,CASH,50.0
Wednesday,2023-03-01,Integrated EFTPOS,282.93
Thursday,2023-03-02,CASH,411.95
Thursday,2023-03-02,Gift Voucher,20.0
Thursday,2023-03-02,Integrated EFTPOS,1991.85
Thursday,2023-03-02,Mail Order Pickup,80.99
Friday,2023-03-03,Gift Voucher,20.0
Friday,2023-03-03,Integrated EFTPOS,2562.29
Friday,2023-03-03,Mail Order Pickup,71.99
Saturday,2023-03-04,CASH,389.95
Saturday,2023-03-04,Gift Voucher,20.0
Saturday,2023-03-04,Integrated EFTPOS,3751.23
Sunday,2023-03-05,Integrated EFTPOS,1470.91
Monday,2023-03-06,Integrated EFTPOS,747.93
Tuesday,2023-03-07,Integrated EFTPOS,1022.92
Wednesday,2023-03-08,Gift Voucher,20.0
Wednesday,2023-03-08,Integrated EFTPOS,1311.91
Thursday,2023-03-09,Integrated EFTPOS,1635.89
Friday,2023-03-10,Account,85.03
Friday,2023-03-10,Integrated EFTPOS,3657.65
Friday,2023-03-10,Mail Order Pickup,139.99
Saturday,2023-03-11,CASH,108.0
Saturday,2023-03-11,Gift Voucher,20.0
Saturday,2023-03-11,Integrated EFTPOS,2527.84
Sunday,2023-03-12,Integrated EFTPOS,2296.86
Monday,2023-03-13,CASH,14.95
Monday,2023-03-13,Integrated EFTPOS,1750.79
Tuesday,2023-03-14,CASH,160.0
Tuesday,2023-03-14,Gift Voucher,20.0
Tuesday,2023-03-14,Integrated EFTPOS,1764.88
Wednesday,2023-03-15,Integrated EFTPOS,1977.91
Wednesday,2023-03-15,Mail Order Pickup,716.97
Thursday,2023-03-16,CASH,50.0
Thursday,2023-03-16,Integrated EFTPOS,478.96
Friday,2023-03-17,Integrated EFTPOS,2258.9
Saturday,2023-03-18,CASH,99.0
Saturday,2023-03-18,Integrated EFTPOS,876.97
Sunday,2023-03-19,Integrated EFTPOS,1349.92
Monday,2023-03-20,Integrated EFTPOS,1292.4
Tuesday,2023-03-21,CASH,144.0
Tuesday,2023-03-21,Gift Voucher,200.0
Tuesday,2023-03-21,Integrated EFTPOS,2092.89
Tuesday,2023-03-21,Mail Order Pickup,29.0
Wednesday,2023-03-22,Account,510.12
Wednesday,2023-03-22,CASH,99.0
Wednesday,2023-03-22,Integrated EFTPOS,2996.71
Thursday,2023-03-23,Account,102.4
Thursday,2023-03-23,CASH,49.0
Thursday,2023-03-23,Integrated EFTPOS,1979.03
Friday,2023-03-24,CASH,159.2
Friday,2023-03-24,Credit note,-103.99
Friday,2023-03-24,Integrated EFTPOS,580.76
Saturday,2023-03-25,Afterpay POS API Payment,-224.1
Saturday,2023-03-25,Birthday Voucher Refund,20.0
Saturday,2023-03-25,CASH,70.0
Saturday,2023-03-25,Integrated EFTPOS,3333.42
Sunday,2023-03-26,Integrated EFTPOS,2074.52
Sunday,2023-03-26,Shopping Centre Vouchers,20.0
Monday,2023-03-27,CASH,335.95
Monday,2023-03-27,Gift Voucher,20.0
Monday,2023-03-27,Integrated EFTPOS,2612.38
Tuesday,2023-03-28,Gift Voucher,20.0
Tuesday,2023-03-28,Integrated EFTPOS,2988.68
Tuesday,2023-03-28,Mail Order Pickup,327.17
Wednesday,2023-03-29,Integrated EFTPOS,2512.85
Wednesday,2023-03-29,Mail Order Pickup,63.2
Thursday,2023-03-30,Integrated EFTPOS,3057.42
Friday,2023-03-31,Integrated EFTPOS,3683.11
Saturday,2023-04-01,CASH,136.0
Saturday,2023-04-01,Gift Voucher,120.0
Saturday,2023-04-01,Integrated EFTPOS,4932.23
Sunday,2023-04-02,CASH,144.0
Sunday,2023-04-02,Integrated EFTPOS,2609.82
Monday,2023-04-03,Integrated EFTPOS,1092.93
Monday,2023-04-03,Mail Order Pickup,632.19
Tuesday,2023-04-04,Integrated EFTPOS,1809.2
Wednesday,2023-04-05,CASH,280.0
Wednesday,2023-04-05,Credit note,-255.98
Wednesday,2023-04-05,Integrated EFTPOS,1893.66
Thursday,2023-04-06,Integrated EFTPOS,972.11
Thursday,2023-04-06,Mail Order Pickup,89.0
Saturday,2023-04-08,CASH,50.0
Saturday,2023-04-08,Gift Voucher,150.0
Saturday,2023-04-08,Integrated EFTPOS,3746.74
Monday,2023-04-10,CASH,144.0
Monday,2023-04-10,Integrated EFTPOS,2830.76
Tuesday,2023-04-11,Integrated EFTPOS,2010.42
Wednesday,2023-04-12,Account,509.97
Wednesday,2023-04-12,Birthday Voucher Refund,20.0
Wednesday,2023-04-12,Integrated EFTPOS,1424.51
Wednesday,2023-04-12,Mail Order Pickup,251.98
Thursday,2023-04-13,Gift Voucher,20.0
Thursday,2023-04-13,Integrated EFTPOS,2959.78
Friday,2023-04-14,Gift Voucher,294.98
Friday,2023-04-14,Integrated EFTPOS,2813.12
Friday,2023-04-14,Mail Order Pickup,89.0
Friday,2023-04-14,PayPal,-110.6
Saturday,2023-04-15,Account,330.02
Saturday,2023-04-15,Integrated EFTPOS,4382.37
Sunday,2023-04-16,Eftpos card,379.97
Sunday,2023-04-16,Integrated EFTPOS,1513.0
Monday,2023-04-17,Integrated EFTPOS,2300.16
Monday,2023-04-17,Mail Order Pickup,510.96
Tuesday,2023-04-18,Afterpay POS API Payment,-359.99
Tuesday,2023-04-18,Integrated EFTPOS,3616.89
Wednesday,2023-04-19,Integrated EFTPOS,4891.61
Wednesday,2023-04-19,Mail Order Pickup,119.99
Thursday,2023-04-20,Integrated EFTPOS,3715.68
Thursday,2023-04-20,Mail Order Pickup,319.99
Friday,2023-04-21,Account,59.99
Friday,2023-04-21,Integrated EFTPOS,3994.77
Friday,2023-04-21,Mail Order Pickup,251.98
Saturday,2023-04-22,Account,85.02
Saturday,2023-04-22,Gift Voucher,50.0
Saturday,2023-04-22,Integrated EFTPOS,5313.62
Saturday,2023-04-22,Shopping Centre Vouchers,20.0
Sunday,2023-04-23,Integrated EFTPOS,4647.75
Monday,2023-04-24,Integrated EFTPOS,3103.79
Monday,2023-04-24,Mail Order Pickup,275.98
Tuesday,2023-04-25,Integrated EFTPOS,-7.0
Wednesday,2023-04-26,CASH,89.0
Wednesday,2023-04-26,Integrated EFTPOS,2083.58
Wednesday,2023-04-26,Mail Order Pickup,143.99
Thursday,2023-04-27,Account,40.01
Thursday,2023-04-27,Gift Voucher,20.0
Thursday,2023-04-27,Integrated EFTPOS,1819.82
Friday,2023-04-28,Account,209.99
Friday,2023-04-28,Credit note,-197.99
Friday,2023-04-28,Integrated EFTPOS,2185.83
Friday,2023-04-28,Mail Order Pickup,184.98
Saturday,2023-04-29,Integrated EFTPOS,4484.72
Sunday,2023-04-30,Integrated EFTPOS,6344.63
Monday,2023-05-01,Integrated EFTPOS,2841.78
Monday,2023-05-01,Mail Order Pickup,529.97
Tuesday,2023-05-02,Account,999.96
Tuesday,2023-05-02,Gift Voucher,109.0
Tuesday,2023-05-02,Integrated EFTPOS,6527.52
Wednesday,2023-05-03,CASH,1055.95
Wednesday,2023-05-03,Gift Voucher,119.99
Wednesday,2023-05-03,Integrated EFTPOS,3150.76
Wednesday,2023-05-03,Mail Order Pickup,295.98
Thursday,2023-05-04,Account,409.97
Thursday,2023-05-04,CASH,136.0
Thursday,2023-05-04,Integrated EFTPOS,4312.7
Friday,2023-05-05,Integrated EFTPOS,6596.52
Friday,2023-05-05,Mail Order Pickup,303.96
Saturday,2023-05-06,CASH,179.95
Saturday,2023-05-06,Integrated EFTPOS,7177.54
Sunday,2023-05-07,Integrated EFTPOS,3733.15
Sunday,2023-05-07,Shopping Centre Vouchers,20.0
Monday,2023-05-08,CASH,160.0
Monday,2023-05-08,Integrated EFTPOS,4674.68
Monday,2023-05-08,Mail Order Pickup,319.99
Tuesday,2023-05-09,CASH,408.0
Tuesday,2023-05-09,Integrated EFTPOS,4311.7
Tuesday,2023-05-09,Mail Order Pickup,135.99
Wednesday,2023-05-10,Gift Voucher,4.0
Wednesday,2023-05-10,Integrated EFTPOS,4149.77
Thursday,2023-05-11,Integrated EFTPOS,5468.54
Friday,2023-05-12,CASH,360.0
Friday,2023-05-12,Integrated EFTPOS,5860.55
Friday,2023-05-12,Mail Order Pickup,127.98
Friday,2023-05-12,PayPal,-119.99
Saturday,2023-05-13,CASH,396.0
Saturday,2023-05-13,Integrated EFTPOS,5954.64
Sunday,2023-05-14,Integrated EFTPOS,3423.48
Monday,2023-05-15,Integrated EFTPOS,2600.83
Tuesday,2023-05-16,CASH,187.5
Tuesday,2023-05-16,Credit note,-295.98
Tuesday,2023-05-16,Integrated EFTPOS,2241.81
Tuesday,2023-05-16,Mail Order Pickup,119.99
Wednesday,2023-05-17,Credit note,295.98
Wednesday,2023-05-17,Gift Voucher,20.0
Wednesday,2023-05-17,Integrated EFTPOS,4325.16
Wednesday,2023-05-17,Mail Order Pickup,463.97
Thursday,2023-05-18,CASH,45.0
Thursday,2023-05-18,Integrated EFTPOS,4852.68
Friday,2023-05-19,CASH,217.5
Friday,2023-05-19,Integrated EFTPOS,3190.77
Saturday,2023-05-20,CASH,253.0
Saturday,2023-05-20,Integrated EFTPOS,6099.98
Sunday,2023-05-21,CASH,50.0
Sunday,2023-05-21,Integrated EFTPOS,4299.42
Monday,2023-05-22,CASH,153.0
Monday,2023-05-22,Integrated EFTPOS,4234.71
Monday,2023-05-22,Mail Order Pickup,90.99
Tuesday,2023-05-23,Gift Voucher,100.0
Tuesday,2023-05-23,Integrated EFTPOS,3283.79
Tuesday,2023-05-23,Mail Order Pickup,143.99
Wednesday,2023-05-24,Gift Voucher,20.0
Wednesday,2023-05-24,Integrated EFTPOS,4709.69
Thursday,2023-05-25,Account,99.99
Thursday,2023-05-25,Birthday Voucher Refund,20.0
Thursday,2023-05-25,CASH,45.95
Thursday,2023-05-25,Integrated EFTPOS,4391.28
Thursday,2023-05-25,Mail Order Pickup,95.98
Friday,2023-05-26,Integrated EFTPOS,3182.25
Friday,2023-05-26,Mail Order Pickup,99.99
Saturday,2023-05-27,Integrated EFTPOS,4372.7
Sunday,2023-05-28,CASH,30.0
Sunday,2023-05-28,Integrated EFTPOS,8725.39
Sunday,2023-05-28,PayPal,-185.35
Monday,2023-05-29,Gift Voucher,20.0
Monday,2023-05-29,Integrated EFTPOS,3003.84
Tuesday,2023-05-30,Integrated EFTPOS,3864.83
Tuesday,2023-05-30,Mail Order Pickup,103.99
Wednesday,2023-05-31,Gift Voucher,20.0
Wednesday,2023-05-31,Integrated EFTPOS,3296.86
Thursday,2023-06-01,CASH,48.0
Thursday,2023-06-01,Integrated EFTPOS,2909.1
Thursday,2023-06-01,Mail Order Pickup,89.0
Friday,2023-06-02,Account,1109.96
Friday,2023-06-02,CASH,-146.0
Friday,2023-06-02,Integrated EFTPOS,2478.89
Friday,2023-06-02,Mail Order Pickup,458.99
Saturday,2023-06-03,Account,179.99
Saturday,2023-06-03,CASH,144.0
Saturday,2023-06-03,Eftpos card,239.98
Saturday,2023-06-03,Gift Voucher,50.0
Saturday,2023-06-03,Integrated EFTPOS,5474.16
Sunday,2023-06-04,Afterpay POS API Payment,-199.99
Sunday,2023-06-04,Integrated EFTPOS,5230.41
Monday,2023-06-05,Integrated EFTPOS,2645.85
Monday,2023-06-05,Mail Order Pickup,713.96
Tuesday,2023-06-06,Account,530.04
Tuesday,2023-06-06,Afterpay POS API Payment,-199.0
Tuesday,2023-06-06,CASH,31.9
Tuesday,2023-06-06,Integrated EFTPOS,1539.93
Wednesday,2023-06-07,CASH,184.0
Wednesday,2023-06-07,Gift Voucher,200.0
Wednesday,2023-06-07,Integrated EFTPOS,3123.27
Thursday,2023-06-08,Integrated EFTPOS,3321.81
Friday,2023-06-09,CASH,178.0
Friday,2023-06-09,Integrated EFTPOS,3135.85
Saturday,2023-06-10,Account,399.99
Saturday,2023-06-10,Integrated EFTPOS,3943.35
Sunday,2023-06-11,CASH,129.0
Sunday,2023-06-11,Gift Voucher,79.99
Sunday,2023-06-11,Integrated EFTPOS,2893.78
Sunday,2023-06-11,PayPal,-199.99
Monday,2023-06-12,Account,461.59
Monday,2023-06-12,CASH,256.0
Monday,2023-06-12,Integrated EFTPOS,3674.22
Tuesday,2023-06-13,Integrated EFTPOS,2139.84
Tuesday,2023-06-13,Mail Order Pickup,235.98
Wednesday,2023-06-14,CASH,199.2
Wednesday,2023-06-14,Gift Voucher,40.0
Wednesday,2023-06-14,Integrated EFTPOS,1685.32
Wednesday,2023-06-14,PayPal,-99.0
Thursday,2023-06-15,CASH,200.0
Thursday,2023-06-15,Integrated EFTPOS,1725.0
Friday,2023-06-16,Integrated EFTPOS,3239.38
Saturday,2023-06-17,Afterpay POS API Payment,-199.0
Saturday,2023-06-17,Integrated EFTPOS,4759.39
Sunday,2023-06-18,Account,47.99
Sunday,2023-06-18,Integrated EFTPOS,5458.96
Monday,2023-06-19,Integrated EFTPOS,2853.46
Monday,2023-06-19,Mail Order Pickup,126.4
Tuesday,2023-06-20,Integrated EFTPOS,2801.23
Wednesday,2023-06-21,Account,90.3
Wednesday,2023-06-21,CASH,140.0
Wednesday,2023-06-21,Gift Voucher,20.0
Wednesday,2023-06-21,Integrated EFTPOS,2923.23
Wednesday,2023-06-21,Mail Order Pickup,90.99
Wednesday,2023-06-21,PayPal,-29.0
Thursday,2023-06-22,CASH,440.3
Thursday,2023-06-22,Integrated EFTPOS,3596.88
Thursday,2023-06-22,PayPal,-135.99
Friday,2023-06-23,Account,55.3
Friday,2023-06-23,Afterpay POS API Payment,-314.99
Friday,2023-06-23,Gift Voucher,90.3
Friday,2023-06-23,Integrated EFTPOS,2875.62
Saturday,2023-06-24,Integrated EFTPOS,4966.78
Sunday,2023-06-25,Integrated EFTPOS,5643.12
Monday,2023-06-26,Integrated EFTPOS,1745.82
Tuesday,2023-06-27,Gift Voucher,20.0
Tuesday,2023-06-27,Integrated EFTPOS,2204.45
Tuesday,2023-06-27,Mail Order Pickup,90.99
Wednesday,2023-06-28,CASH,672.0
Wednesday,2023-06-28,Integrated EFTPOS,1914.08
Wednesday,2023-06-28,PayPal,-55.3
Thursday,2023-06-29,Account,49.0
Thursday,2023-06-29,CASH,34.3
Thursday,2023-06-29,Integrated EFTPOS,4556.71
Friday,2023-06-30,Integrated EFTPOS,1806.09
Friday,2023-06-30,Mail Order Pickup,49.0
Saturday,2023-07-01,CASH,369.25
Saturday,2023-07-01,Gift Voucher,20.0
Saturday,2023-07-01,Integrated EFTPOS,5774.58
Sunday,2023-07-02,CASH,297.0
Sunday,2023-07-02,Integrated EFTPOS,3984.25
Monday,2023-07-03,CASH,179.0
Monday,2023-07-03,Integrated EFTPOS,1243.53
Tuesday,2023-07-04,CASH,108.0
Tuesday,2023-07-04,Gift Voucher,40.0
Tuesday,2023-07-04,Integrated EFTPOS,2237.66
Wednesday,2023-07-05,Account,289.31
Wednesday,2023-07-05,Integrated EFTPOS,2216.99
Thursday,2023-07-06,Integrated EFTPOS,1466.18
Friday,2023-07-07,Account,118.99
Friday,2023-07-07,Integrated EFTPOS,3696.4
Friday,2023-07-07,Mail Order Pickup,270.98
Saturday,2023-07-08,Gift Voucher,59.7
Saturday,2023-07-08,Integrated EFTPOS,2945.61
Sunday,2023-07-09,CASH,245.0
Sunday,2023-07-09,Integrated EFTPOS,4322.94
Monday,2023-07-10,CASH,659.95
Monday,2023-07-10,Integrated EFTPOS,3618.45
Tuesday,2023-07-11,Credit note,-158.0
Tuesday,2023-07-11,Integrated EFTPOS,4241.32
Wednesday,2023-07-12,CASH,272.0
Wednesday,2023-07-12,Integrated EFTPOS,3627.56
Thursday,2023-07-13,CASH,280.0
Thursday,2023-07-13,Integrated EFTPOS,2004.38
Friday,2023-07-14,CASH,69.3
Friday,2023-07-14,Integrated EFTPOS,1091.6
Saturday,2023-07-15,Gift Voucher,20.0
Saturday,2023-07-15,Integrated EFTPOS,2311.14
Sunday,2023-07-16,Integrated EFTPOS,1620.77
Monday,2023-07-17,Integrated EFTPOS,1550.83
Tuesday,2023-07-18,Gift Voucher,71.99
Tuesday,2023-07-18,Integrated EFTPOS,1997.82
Wednesday,2023-07-19,CASH,11.45
Wednesday,2023-07-19,Gift Voucher,20.0
Wednesday,2023-07-19,Integrated EFTPOS,1535.45
Thursday,2023-07-20,Gift Voucher,20.0
Thursday,2023-07-20,Integrated EFTPOS,1615.97
Friday,2023-07-21,Account,40.0
Friday,2023-07-21,CASH,401.0
Friday,2023-07-21,Integrated EFTPOS,1719.88
Friday,2023-07-21,Mail Order Pickup,104.99
Saturday,2023-07-22,Gift Voucher,20.0
Saturday,2023-07-22,Integrated EFTPOS,3327.85
Sunday,2023-07-23,Account,20.0
Sunday,2023-07-23,Gift Voucher,20.0
Sunday,2023-07-23,Integrated EFTPOS,2164.84
Monday,2023-07-24,Account,79.0
Monday,2023-07-24,Integrated EFTPOS,461.66
Monday,2023-07-24,Mail Order Pickup,179.99
Tuesday,2023-07-25,Integrated EFTPOS,1325.96
Tuesday,2023-07-25,Mail Order Pickup,242.99
Wednesday,2023-07-26,Integrated EFTPOS,2056.8
Thursday,2023-07-27,Integrated EFTPOS,2739.8
Friday,2023-07-28,Integrated EFTPOS,740.93
Friday,2023-07-28,Mail Order Pickup,159.99
Saturday,2023-07-29,Integrated EFTPOS,2514.77
Sunday,2023-07-30,Integrated EFTPOS,2087.89
Monday,2023-07-31,Integrated EFTPOS,1454.9
Monday,2023-07-31,Mail Order Pickup,63.99
Tuesday,2023-08-01,CASH,72.0
Tuesday,2023-08-01,Integrated EFTPOS,432.97
Wednesday,2023-08-02,Integrated EFTPOS,1379.91
Thursday,2023-08-03,Integrated EFTPOS,2360.8
Friday,2023-08-04,Credit note,0.0
Friday,2023-08-04,Gift Voucher,20.0
Friday,2023-08-04,Integrated EFTPOS,1040.94
Friday,2023-08-04,PayPal,-149.0
Saturday,2023-08-05,Integrated EFTPOS,2456.87
Sunday,2023-08-06,CASH,225.0
Sunday,2023-08-06,Gift Voucher,20.0
Sunday,2023-08-06,Integrated EFTPOS,2691.87
Monday,2023-08-07,Integrated EFTPOS,1506.91
Monday,2023-08-07,Mail Order Pickup,152.99
Tuesday,2023-08-08,Account,369.98
Tuesday,2023-08-08,Gift Voucher,20.0
Tuesday,2023-08-08,Integrated EFTPOS,1389.91
Wednesday,2023-08-09,Afterpay POS API Payment,-49.01
Wednesday,2023-08-09,Integrated EFTPOS,2490.86
Thursday,2023-08-10,Integrated EFTPOS,806.93
Friday,2023-08-11,Account,426.97
Friday,2023-08-11,Integrated EFTPOS,3251.85
Saturday,2023-08-12,Account,449.96
Saturday,2023-08-12,Integrated EFTPOS,3047.8
Sunday,2023-08-13,Integrated EFTPOS,1658.89
Monday,2023-08-14,Integrated EFTPOS,2067.89
Tuesday,2023-08-15,Account,160.0
Tuesday,2023-08-15,Gift Voucher,20.0
Tuesday,2023-08-15,Integrated EFTPOS,1859.53
Wednesday,2023-08-16,Integrated EFTPOS,2422.57
Wednesday,2023-08-16,Mail Order Pickup,179.99
Thursday,2023-08-17,Gift Voucher,20.0
Thursday,2023-08-17,Integrated EFTPOS,1857.78
Friday,2023-08-18,Integrated EFTPOS,1534.27
Saturday,2023-08-19,CASH,72.0
Saturday,2023-08-19,Integrated EFTPOS,3406.22
Sunday,2023-08-20,Account,107.82
Sunday,2023-08-20,CASH,20.0
Sunday,2023-08-20,Eftpos card,295.99
Sunday,2023-08-20,Integrated EFTPOS,1650.7
Monday,2023-08-21,Integrated EFTPOS,3672.47
Monday,2023-08-21,Mail Order Pickup,191.98
Tuesday,2023-08-22,Integrated EFTPOS,2703.78
Tuesday,2023-08-22,Mail Order Pickup,125.99
Tuesday,2023-08-22,PayPal,-199.0
Wednesday,2023-08-23,Integrated EFTPOS,3291.82
Thursday,2023-08-24,Integrated EFTPOS,2978.93
