day,date,tender,value
Saturday,2022-06-25,Integrated EFTPOS,4338.33
Saturday,2022-06-25,PayPal,-23.2
Sunday,2022-06-26,Gift Voucher,40.0
Sunday,2022-06-26,Integrated EFTPOS,4850.33
Monday,2022-06-27,Integrated EFTPOS,1621.61
Tuesday,2022-06-28,Integrated EFTPOS,1702.4
Tuesday,2022-06-28,Mail Order Pickup,119.99
Wednesday,2022-06-29,Account,259.99
Wednesday,2022-06-29,Birthday Voucher Refund,-20.0
Wednesday,2022-06-29,Integrated EFTPOS,2975.31
Thursday,2022-06-30,Gift Voucher,50.0
Thursday,2022-06-30,Integrated EFTPOS,2610.26
Thursday,2022-06-30,PayPal,-174.29
Friday,2022-07-01,Integrated EFTPOS,1127.45
Friday,2022-07-01,PayPal,-39.2
Saturday,2022-07-02,Integrated EFTPOS,1979.14
Sunday,2022-07-03,Integrated EFTPOS,1984.49
Monday,2022-07-04,Integrated EFTPOS,1566.92
Tuesday,2022-07-05,Integrated EFTPOS,1289.91
Wednesday,2022-07-06,Integrated EFTPOS,3272.61
Thursday,2022-07-07,Integrated EFTPOS,3388.85
Friday,2022-07-08,Gift Voucher,40.0
Friday,2022-07-08,Integrated EFTPOS,2673.23
Saturday,2022-07-09,Gift Voucher,20.0
Saturday,2022-07-09,Integrated EFTPOS,3030.21
Sunday,2022-07-10,Afterpay POS API Payment,-239.99
Sunday,2022-07-10,CASH,468.95
Sunday,2022-07-10,Gift Voucher,40.0
Sunday,2022-07-10,Integrated EFTPOS,3080.81
Monday,2022-07-11,Gift Voucher,20.0
Monday,2022-07-11,Integrated EFTPOS,2284.84
Tuesday,2022-07-12,Account,169.99
Tuesday,2022-07-12,Integrated EFTPOS,3535.76
Wednesday,2022-07-13,Integrated EFTPOS,1197.9
Thursday,2022-07-14,Account,200.0
Thursday,2022-07-14,CASH,475.95
Thursday,2022-07-14,Integrated EFTPOS,1585.86
Friday,2022-07-15,Integrated EFTPOS,2060.37
Saturday,2022-07-16,Gift Voucher,198.99
Saturday,2022-07-16,Integrated EFTPOS,4853.14
Sunday,2022-07-17,Gift Voucher,50.0
Sunday,2022-07-17,Integrated EFTPOS,1713.84
Monday,2022-07-18,Integrated EFTPOS,1403.44
Tuesday,2022-07-19,Account,1251.93
Tuesday,2022-07-19,Gift Voucher,20.0
Tuesday,2022-07-19,Integrated EFTPOS,1460.91
Wednesday,2022-07-20,Integrated EFTPOS,1912.83
Thursday,2022-07-21,CASH,184.0
Thursday,2022-07-21,Gift Voucher,271.99
Thursday,2022-07-21,Integrated EFTPOS,846.93
Thursday,2022-07-21,Mail Order Pickup,311.97
Friday,2022-07-22,Account,231.98
Friday,2022-07-22,Integrated EFTPOS,503.96
Saturday,2022-07-23,Integrated EFTPOS,4906.64
Sunday,2022-07-24,Gift Voucher,172.99
Sunday,2022-07-24,Integrated EFTPOS,2536.82
Monday,2022-07-25,Account,60.0
Monday,2022-07-25,Integrated EFTPOS,2153.85
Tuesday,2022-07-26,Integrated EFTPOS,1091.93
Wednesday,2022-07-27,CASH,400.0
Wednesday,2022-07-27,Gift Voucher,40.0
Wednesday,2022-07-27,Integrated EFTPOS,1759.83
Thursday,2022-07-28,Account,825.93
Thursday,2022-07-28,CASH,312.0
Thursday,2022-07-28,Gift Voucher,20.0
Thursday,2022-07-28,Integrated EFTPOS,1728.87
