department,markdown_id,markdown_description,date,style_code,description,colour,price,soh,price_history
Womenswear,4227,SCW24FINALPP,11/04/2024,111800,Eva Capri,Black,39.00,1,"{'79.00': ('30/09/2022', 'WK9SEPWWCLN'), '59.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Womenswear,4227,SCW24FINALPP,11/04/2024,111800,Eva Capri,ClassicNav,39.00,2,"{'79.00': ('30/09/2022', 'WK9SEPWWCLN'), '69.00': ('27/09/2023', 'SCS24FURTHERMDWK7'), '49.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Womenswear,4180,Nothing,16/01/2024,112708E,Daisy Linen Shi,White,59.00,2,"{'79.00': ('30/05/2023', 'SCW23EOSS'), '59.00': ('16/01/2024', 'Nothing')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,112740,Laura Relaxed C,Bone,59.00,5,"{'79.00': ('04/03/2025', 'SCWWMARMSS'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,112740,Laura Relaxed C,ClassicNav,59.00,1,"{'79.00': ('04/03/2025', 'SCWWMARMSS'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,Bone,49.00,10,"{'59.00': ('04/03/2025', 'SCWWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,ClassicNav,49.00,8,"{'59.00': ('04/03/2025', 'SCWWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,Ivory,49.00,8,"{'59.00': ('04/03/2025', 'SCWWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4180,Nothing,16/01/2024,113032,Laura Chino Sho,Khaki,39.00,2,"{'49.00': ('17/04/2025', 'SCWK38FINALPP'), '39.00': ('16/01/2024', 'Nothing'), '59.00': ('04/03/2025', 'SCWWMARMSS')}"
Womenswear,4180,Nothing,16/01/2024,113032,Laura Chino Sho,Sienna,39.00,1,"{'49.00': ('21/12/2023', 'SCBOXINGDAY121223'), '39.00': ('16/01/2024', 'Nothing')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,Tan,49.00,3,"{'59.00': ('04/03/2025', 'SCWWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,113630,Georgina Shirt,White,59.00,1,"{'79.00': ('19/11/2024', 'SCWWBFWK14'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4180,Nothing,16/01/2024,113736E,Daisy Linen Shi,Pink,59.00,1,"{'79.00': ('30/05/2023', 'SCW23EOSS'), '59.00': ('16/01/2024', 'Nothing')}"
Womenswear,4227,SCW24FINALPP,11/04/2024,113996E,ROSA LINEN PANT,Natural,39.00,2,"{'79.00': ('30/05/2023', 'SCW23EOSS'), '59.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Womenswear,4314,SCFINALPPA,03/10/2024,114539,Jackie H/W Skin,Black,59.00,6,"{'99.00': ('21/08/2024', 'SCS24MSSV1'), '79.00': ('17/09/2024', 'SCS24SEPFUR'), '59.00': ('03/10/2024', 'SCFINALPPA')}"
Womenswear,4365,SCFEBSALEFURTHERS,30/01/2025,114540E,Jackie H/W Skin,Mid Wash,59.00,6,"{'99.00': ('28/05/2024', 'SCW24EOSS'), '79.00': ('20/06/2024', 'SCW24EOSSFURPP'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS')}"
Womenswear,4350,SCBOXINGDAYFURTHERS,24/12/2024,114852G1,Mercerised Cott,Cerulean,29.00,1,"{'29.00': ('24/12/2024', 'SCBOXINGDAYFURTHERS')}"
Womenswear,4365,SCFEBSALEFURTHERS,30/01/2025,114852G1,Mercerised Cott,Pl Blue,29.00,1,"{'39.00': ('17/12/2024', 'SCWWBDEXTRA'), '29.00': ('30/01/2025', 'SCFEBSALEFURTHERS')}"
Womenswear,4180,Nothing,16/01/2024,114934G1E,Felicity Velvet,Black,39.00,2,"{'69.00': ('31/08/2023', 'SCS23MSSNEW'), '49.00': ('09/01/2024', 'SCFURTHERMD08012024'), '39.00': ('16/01/2024', 'Nothing')}"
Womenswear,4227,SCW24FINALPP,11/04/2024,114950,Eva Capri,Black,39.00,6,"{'79.00': ('30/09/2022', 'WK9SEPWWCLN'), '59.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Womenswear,4227,SCW24FINALPP,11/04/2024,114950,Eva Capri,ClassicNav,39.00,6,"{'79.00': ('30/09/2022', 'WK9SEPWWCLN'), '69.00': ('27/09/2023', 'SCS24FURTHERMDWK7'), '49.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Womenswear,4365,SCFEBSALEFURTHERS,30/01/2025,114951,Yvonne Pant,Black,39.00,1,"{'79.00': ('21/08/2024', 'SCS24MSSV1'), '59.00': ('03/10/2024', 'SCFINALPPA'), '39.00': ('30/01/2025', 'SCFEBSALEFURTHERS')}"
Womenswear,4180,Nothing,16/01/2024,114952,Felicity Pull O,Khaki,29.00,1,"{'79.00': ('30/05/2023', 'SCW23EOSS'), '49.00': ('06/10/2023', 'SCS23CLDFINAL'), '39.00': ('09/01/2024', 'SCFURTHERMD08012024'), '29.00': ('16/01/2024', 'Nothing')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,114952E,Felicity Pull O,Black,59.00,1,"{'99.00': ('28/05/2024', 'SCW24EOSS'), '79.00': ('20/06/2024', 'SCW24EOSSFURPP'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4180,Nothing,16/01/2024,114952E,Felicity Pull O,Khaki,29.00,3,"{'79.00': ('30/05/2023', 'SCW23EOSS'), '39.00': ('09/01/2024', 'SCFURTHERMD08012024'), '29.00': ('16/01/2024', 'Nothing')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,114952E,Felicity Pull O,Navy,59.00,1,"{'99.00': ('28/05/2024', 'SCW24EOSS'), '79.00': ('20/06/2024', 'SCW24EOSSFURPP'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,114953E,Esme Ponte Pant,Black,59.00,3,"{'99.00': ('28/05/2024', 'SCW24EOSS'), '79.00': ('20/06/2024', 'SCW24EOSSFURPP'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,114953E,Esme Ponte Pant,Navy,59.00,3,"{'99.00': ('28/05/2024', 'SCW24EOSS'), '79.00': ('20/06/2024', 'SCW24EOSSFURPP'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4227,SCW24FINALPP,11/04/2024,114954,Jackie H/W Skin,Dk Wash,39.00,1,"{'79.00': ('30/09/2022', 'WK9SEPWWCLN'), '59.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Womenswear,4227,SCW24FINALPP,11/04/2024,114954E,Jackie H/W Skin,Dk Wash,39.00,2,"{'79.00': ('30/09/2022', 'WK9SEPWWCLN'), '59.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Womenswear,4180,Nothing,16/01/2024,115048,Felicity Denim,Washed Ind,39.00,2,"{'99.00': ('21/05/2020', 'SCWWEOSSWK43'), '79.00': ('09/03/2021', 'SCWWMSSWK33'), '49.00': ('25/05/2021', 'SCEOSSWK44'), '39.00': ('16/01/2024', 'Nothing')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,115179,Rosa Linen Pant,Black,59.00,-1,"{'79.00': ('04/03/2025', 'SCWWMARMSS'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4227,SCW24FINALPP,11/04/2024,115179,Rosa Linen Pant,Brt Pink,59.00,1,"{'79.00': ('13/03/2024', 'SCW24MSSNEWFUR'), '59.00': ('11/04/2024', 'SCW24FINALPP')}"
Womenswear,4227,SCW24FINALPP,11/04/2024,115179,Rosa Linen Pant,Chocolate,39.00,1,"{'79.00': ('30/05/2023', 'SCW23EOSS'), '59.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
