markdown_id,markdown_description,date,style_code,description,department,colour,soh,price,price_history
4180,Nothing,16/01/2024,117134,Alder Oxford Sh,Womenswear,White,1,39.0,"{49.0: ('24/11/2023', 'SCBFMD23E'), 39.0: ('16/01/2024', 'Nothing')}"
4180,Nothing,16/01/2024,117174E,Bailey Stripe S,Womenswear,Pink/White,1,59.0,"{79.0: ('24/08/2023', 'SCS24MSS'), 59.0: ('16/01/2024', 'Nothing')}"
4180,Nothing,16/01/2024,117189,Filomena Shirt,Womenswear,Lt Pink,2,59.0,"{79.0: ('22/12/2022', 'SCBOXINGDAY22'), 59.0: ('16/01/2024', 'Nothing')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117210,Marlow Trackpan,Womenswear,Ivory,1,19.0,"{79.0: ('30/05/2023', 'SCW23EOSS'), 59.0: ('16/01/2024', 'Nothing'), 49.0: ('11/04/2024', 'SCW24FINALPP'), 19.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117241,Heidi L/S Rib T,Womenswear,Peppermint,2,29.0,"{39.0: ('21/08/2024', 'SCS24MSSV1'), 29.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117241,Heidi L/S Rib T,Womenswear,White,2,29.0,"{39.0: ('21/08/2024', 'SCS24MSSV1'), 29.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117256,Heidi L/S Rib T,Womenswear,Navy/Whit,2,29.0,"{39.0: ('21/08/2024', 'SCS24MSSV1'), 29.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4047,SCBOXINGDAY22,22/12/2022,117256,Heidi L/S Rib T,Womenswear,Pink/White,1,29.0,"{29.0: ('30/01/2025', 'SCFEBSALEFURTHERS'), 39.0: ('21/08/2024', 'SCS24MSSV1')}"
4180,Nothing,16/01/2024,117259,JOSIE TAPE YARN,Womenswear,Off White,1,59.0,"{79.0: ('30/05/2023', 'SCW23EOSS'), 59.0: ('16/01/2024', 'Nothing')}"
4180,Nothing,16/01/2024,117259E,JOSIE TAPE YARN,Womenswear,Navy,1,59.0,"{79.0: ('30/05/2023', 'SCW23EOSS'), 59.0: ('16/01/2024', 'Nothing')}"
4180,Nothing,16/01/2024,117263,SLUB COTTON POL,Womenswear,Cashew,1,59.0,"{79.0: ('22/12/2022', 'SCBOXINGDAY22'), 59.0: ('16/01/2024', 'Nothing')}"
4227,SCW24FINALPP,11/04/2024,117267,Adelyn Jacket,Womenswear,Azure,1,99.0,"{199.0: ('26/12/2022', 'SCBOXDAYADD2612'), 149.0: ('16/01/2024', 'Nothing'), 99.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,117271,Harlow Wrap Dre,Womenswear,Blue/Multi,2,39.0,"{79.0: ('22/12/2022', 'SCBOXINGDAY22'), 59.0: ('16/01/2024', 'Nothing'), 39.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,117271E,Harlow Wrap Dre,Womenswear,Blue/Multi,1,59.0,"{79.0: ('16/01/2024', 'Nothing'), 99.0: ('28/07/2023', 'SCEOSSFURTHER'), 59.0: ('11/04/2024', 'SCW24FINALPP')}"
4180,Nothing,16/01/2024,117295,Ariana Short,Womenswear,Cashew,1,19.0,"{49.0: ('22/12/2022', 'SCBOXINGDAY22'), 29.0: ('14/03/2023', 'SCW23MSS'), 19.0: ('16/01/2024', 'Nothing')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117310,Yvonne Blazer,Womenswear,French Nvy,-1,79.0,"{149.0: ('21/08/2024', 'SCS24MSSV1'), 99.0: ('03/10/2024', 'SCFINALPPA'), 79.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117310,Yvonne Blazer,Womenswear,Navy,1,99.0,"{149.0: ('21/08/2024', 'SCS24MSSV1'), 99.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117310E,Yvonne Blazer,Womenswear,Black,11,99.0,"{159.0: ('28/05/2024', 'SCW24EOSS'), 99.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117310E,Yvonne Blazer,Womenswear,Navy,9,99.0,"{159.0: ('28/05/2024', 'SCW24EOSS'), 99.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4180,Nothing,16/01/2024,117312,Josie Short Sle,Womenswear,Lilac,1,59.0,"{79.0: ('14/03/2023', 'SCW23MSS'), 59.0: ('16/01/2024', 'Nothing')}"
4180,Nothing,16/01/2024,117312E,Josie Short Sle,Womenswear,Magenta,1,59.0,"{79.0: ('14/03/2023', 'SCW23MSS'), 59.0: ('16/01/2024', 'Nothing')}"
4227,SCW24FINALPP,11/04/2024,117348E,Leslie Linen Dr,Womenswear,Green,1,59.0,"{99.0: ('14/03/2023', 'SCW23MSS'), 79.0: ('16/01/2024', 'Nothing'), 59.0: ('11/04/2024', 'SCW24FINALPP')}"
4180,Nothing,16/01/2024,117349,Leslie Linen Sh,Womenswear,Sherbet,1,39.0,"{79.0: ('14/03/2023', 'SCW23MSS'), 49.0: ('28/07/2023', 'SCEOSSFURTHER'), 39.0: ('16/01/2024', 'Nothing')}"
4399,SCWK38FINALPP,17/04/2025,117399,Allegra Linen T,Womenswear,Navy,-5,59.0,"{69.0: ('30/01/2025', 'SCFEBSALEFURTHERS'), 59.0: ('17/04/2025', 'SCWK38FINALPP')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117414,Cecilia Merceri,Womenswear,Multi,1,29.0,"{49.0: ('14/03/2023', 'SCW23MSS'), 39.0: ('16/01/2024', 'Nothing'), 29.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117430,Freya Linen Bla,Womenswear,Navy,1,79.0,"{179.0: ('06/03/2024', 'SCW24MSS'), 149.0: ('13/03/2024', 'SCW24MSSNEWFUR'), 99.0: ('11/04/2024', 'SCW24FINALPP'), 79.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4227,SCW24FINALPP,11/04/2024,117431E,Freya Linen Pan,Womenswear,Navy,1,59.0,"{79.0: ('06/03/2024', 'SCW24MSS'), 59.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,117434,Freya Linen Bla,Womenswear,Navy,11,99.0,"{149.0: ('30/05/2023', 'SCW23EOSS'), 99.0: ('17/04/2025', 'SCWK38FINALPP'), 199.0: ('04/03/2025', 'SCWWMARMSS')}"
4399,SCWK38FINALPP,17/04/2025,117434,Freya Linen Bla,Womenswear,String,4,99.0,"{199.0: ('04/03/2025', 'SCWWMARMSS'), 99.0: ('17/04/2025', 'SCWK38FINALPP')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117434E,Freya Linen Bla,Womenswear,String,9,99.0,"{249.0: ('28/05/2024', 'SCW24EOSS'), 199.0: ('20/06/2024', 'SCW24EOSSFURPP'), 99.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4399,SCWK38FINALPP,17/04/2025,117434G1,Freya Linen Bla,Womenswear,White,4,99.0,"{229.0: ('04/03/2025', 'SCWWMARMSS'), 99.0: ('17/04/2025', 'SCWK38FINALPP')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117445,Astrid Pique Po,Womenswear,Navy,1,29.0,"{49.0: ('30/05/2023', 'SCW23EOSS'), 39.0: ('16/01/2024', 'Nothing'), 29.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117460E,Stina Blazer,Womenswear,Blue,9,79.0,"{149.0: ('21/12/2023', 'SCBOXINGDAY121223'), 129.0: ('09/01/2024', 'SCFURTHERMD08012024'), 109.0: ('16/01/2024', 'Nothing'), 99.0: ('11/04/2024', 'SCW24FINALPP'), 79.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4227,SCW24FINALPP,11/04/2024,117479,Varna Blouse,Womenswear,Ivory,1,59.0,"{99.0: ('14/03/2023', 'SCW23MSS'), 79.0: ('16/01/2024', 'Nothing'), 59.0: ('11/04/2024', 'SCW24FINALPP')}"
4180,Nothing,16/01/2024,117503,SOFIA LIBERTY T,Womenswear,Blue/Multi,1,59.0,"{99.0: ('30/12/2022', 'SCSUMSLEADD0501'), 79.0: ('14/03/2023', 'SCW23MSS'), 59.0: ('16/01/2024', 'Nothing')}"
4399,SCWK38FINALPP,17/04/2025,117533,Laura Relaxed C,Womenswear,Bone,7,59.0,"{79.0: ('04/03/2025', 'SCWWMARMSS'), 59.0: ('17/04/2025', 'SCWK38FINALPP')}"
4399,SCWK38FINALPP,17/04/2025,117533,Laura Relaxed C,Womenswear,ClassicNav,1,59.0,"{79.0: ('04/03/2025', 'SCWWMARMSS'), 59.0: ('17/04/2025', 'SCWK38FINALPP')}"
4227,SCW24FINALPP,11/04/2024,117533,Laura Relaxed C,Womenswear,Green,2,39.0,"{79.0: ('14/03/2023', 'SCW23MSS'), 59.0: ('16/01/2024', 'Nothing'), 39.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,117533,Laura Relaxed C,Womenswear,Sage,1,39.0,"{79.0: ('21/12/2023', 'SCBOXINGDAY121223'), 59.0: ('16/01/2024', 'Nothing'), 39.0: ('11/04/2024', 'SCW24FINALPP')}"
4399,SCWK38FINALPP,17/04/2025,117533,Laura Relaxed C,Womenswear,White,5,59.0,"{79.0: ('04/03/2025', 'SCWWMARMSS'), 59.0: ('17/04/2025', 'SCWK38FINALPP')}"
4180,Nothing,16/01/2024,117539,Lina Cotton Sil,Womenswear,green mult,2,39.0,"{99.0: ('22/12/2022', 'SCBOXINGDAY22'), 49.0: ('14/03/2023', 'SCW23MSS'), 39.0: ('16/01/2024', 'Nothing')}"
4180,Nothing,16/01/2024,117562,Beata Cotton Si,Womenswear,green mult,1,59.0,"{79.0: ('30/12/2022', 'SCSUMSLEADD0501'), 59.0: ('16/01/2024', 'Nothing')}"
4180,Nothing,16/01/2024,117584,Annaliese Liber,Womenswear,Multi,1,39.0,"{99.0: ('26/12/2022', 'SCBOXDAYADD2612'), 79.0: ('14/03/2023', 'SCW23MSS'), 49.0: ('28/07/2023', 'SCEOSSFURTHER'), 39.0: ('16/01/2024', 'Nothing')}"
4227,SCW24FINALPP,11/04/2024,117588,Rose Liberty Bl,Womenswear,Navy Multi,1,59.0,"{99.0: ('14/03/2023', 'SCW23MSS'), 79.0: ('16/01/2024', 'Nothing'), 59.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,117591,Tarni Wide Leg,Womenswear,White,1,59.0,"{99.0: ('28/07/2023', 'SCEOSSFURTHER'), 79.0: ('16/01/2024', 'Nothing'), 59.0: ('11/04/2024', 'SCW24FINALPP')}"
4180,Nothing,16/01/2024,117609,Jose Tape Yarn,Womenswear,Tangerine,1,39.0,"{49.0: ('30/05/2023', 'SCW23EOSS'), 39.0: ('16/01/2024', 'Nothing')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117651,Georgina Relaxe,Womenswear,White,-1,59.0,"{79.0: ('19/11/2024', 'SCWWBFWK14'), 59.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4399,SCWK38FINALPP,17/04/2025,117651E,Georgina Relaxe,Womenswear,White,6,59.0,"{79.0: ('28/05/2024', 'SCW24EOSS'), 69.0: ('20/06/2024', 'SCW24EOSSFURPP'), 59.0: ('17/04/2025', 'SCWK38FINALPP')}"
4227,SCW24FINALPP,11/04/2024,117662,Ana Blazer,Womenswear,Chocolate,1,99.0,"{149.0: ('16/01/2024', 'Nothing'), 99.0: ('11/04/2024', 'SCW24FINALPP')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117677,Pippa Pique Dre,Womenswear,Navy,1,19.0,"{79.0: ('16/01/2024', 'Nothing'), 59.0: ('11/04/2024', 'SCW24FINALPP'), 19.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4227,SCW24FINALPP,11/04/2024,117694,Callie Jacket,Womenswear,Duck Egg,1,99.0,"{149.0: ('30/05/2023', 'SCW23EOSS'), 119.0: ('16/01/2024', 'Nothing'), 99.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,117703,Jilly Jersey Sh,Womenswear,Sunflower,2,19.0,"{39.0: ('09/01/2024', 'SCFURTHERMD08012024'), 29.0: ('16/01/2024', 'Nothing'), 19.0: ('11/04/2024', 'SCW24FINALPP')}"
4399,SCWK38FINALPP,17/04/2025,117720,Baby Cable Swea,Womenswear,Lavender,-1,79.0,"{129.0: ('21/08/2024', 'SCS24MSSV1'), 89.0: ('30/01/2025', 'SCFEBSALEFURTHERS'), 79.0: ('17/04/2025', 'SCWK38FINALPP')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117720,Baby Cable Swea,Womenswear,Pl Blue,6,89.0,"{129.0: ('21/08/2024', 'SCS24MSSV1'), 89.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4227,SCW24FINALPP,11/04/2024,117730,Pony Spot Cardi,Womenswear,Camel,1,59.0,"{129.0: ('30/05/2023', 'SCW23EOSS'), 109.0: ('16/01/2024', 'Nothing'), 59.0: ('11/04/2024', 'SCW24FINALPP')}"
