department,markdown_id,markdown_description,date,style_code,description,colour,price,soh,price_history
Menswear,4370,SCMWMARMSS,4/03/2025,207741,SSR PARKHILL SH,Multi,49,3,"{'89.00': ('24/12/2024', 'SCMWBDWK20'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207748,SSR LINEN SHIRT,Cobalt,49,3,"{'89.00': ('17/12/2024', 'SCMWBDWK19'), '79.00': ('24/12/2024', 'SCBOXINGDAYFURTHERS'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207758,SSR KNOT CHECK,Blue/Multi,49,3,"{'89.00': ('17/12/2024', 'SCMWBDWK19'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4286,SCS24MSSV1,21/08/2024,206909G1,MERINO VEST,Navy,49,3,"{'89.00': ('31/05/2024', 'SCW24EOSSFURV4'), '79.00': ('20/06/2024', 'SCW24EOSSFURPP'), '49.00': ('21/08/2024', 'SCS24MSSV1')}"
Menswear,4314,SCFINALPPA,3/10/2024,206910G1,MERINO V NECK,Navy,49,3,"{'99.00': ('21/08/2024', 'SCS24MSSV1'), '79.00': ('17/09/2024', 'SCS24SEPFUR'), '49.00': ('03/10/2024', 'SCFINALPPA')}"
Menswear,4314,SCFINALPPA,3/10/2024,206911G1,MERINO CREW NEC,Black,49,3,"{'99.00': ('21/08/2024', 'SCS24MSSV1'), '79.00': ('17/09/2024', 'SCS24SEPFUR'), '49.00': ('03/10/2024', 'SCFINALPPA')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207264G1,LSL YD LINEN SH,Teal,49,3,"{'69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207269G1,LSL LINEN SHIRT,Red,49,3,"{'69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,206519,LSL LINEN SHIRT,Indigo,49,2,"{'79.00': ('21/12/2023', 'SCBOXINGDAY121223'), '69.00': ('16/01/2024', 'Nothing'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207028,LINEN S,Chambray,49,2,"{'89.00': ('17/12/2024', 'SCMWBDWK19'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207351,SST BIRDIE SHIR,Multi,49,2,"{'69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207391,SST ALPHA SHIRT,Red Multi,49,2,"{'69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207468,SSR JUC LIBERTY,Royal Blue,49,2,"{'69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207571,LSR MCLURE SHIR,Biscuit,49,2,"{'89.00': ('31/05/2024', 'SCW24EOSSFURV4'), '59.00': ('20/06/2024', 'SCW24EOSSFURPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207622,JACKSON SLIM JE,Putty,49,2,"{'99.00': ('21/08/2024', 'SCS24MSSV1'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207720,SSR REDFERN LIN,Pink/Blue,49,2,"{'89.00': ('17/12/2024', 'SCMWBDWK19'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207724,SSR BAY LIBERTY,Blue/Multi,49,2,"{'89.00': ('17/12/2024', 'SCMWBDWK19'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
